Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Invert,Arthropoda,Merostomata,Eurypterida,Pterygotus cobbi,species,Paleozoic,Silurian,Pridoli,Pridoli,Silurian,Pridoli,Pridoli,Brandt 2021,1.40,maximum length,Brandt 2021,,Macropredator,Pelagic,Coastal,see P. anglicus (genus),McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"423 – 419.2; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Arthropoda,Merostomata,Eurypterida,Pterygotus denticulatus,species,Paleozoic,Silurian,Ludlow,,Silurian,Ludlow,,Brandt 2021,1.20,maximum length,Brandt 2021,,Macropredator,Pelagic,Coastal,see P. anglicus (genus),McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"425.6 – 423; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Arthropoda,Merostomata,Eurypterida,Pterygotus grandidentatus,species,Paleozoic,Silurian,Wenlock,,Silurian,Wenlock,,Klug et al. 2014,1.75,maximum size,Klug et al. 2014,Europe,Macropredator,Pelagic,Coastal,see P. anglicus (genus),McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Arthropoda,Merostomata,Eurypterida,Pterygotus impacatus,species,Paleozoic,Silurian,Ludlow,,Silurian,Ludlow,,Brandt 2021,1.65,maximum length,Brandt 2021,,Macropredator,Pelagic,Coastal,see P. anglicus (genus),McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,438.5 – 427.4; PBDB paper not found,SR,
Invert,Arthropoda,Cephalopoda,Pseudorthocerida,Rayonnoceras ,genus,Paleozoic,Carboniferous ,Mississippian,Tournaisian,Carboniferous ,Mississippian,Visean,Lethaia 2007;Klug et al. 2014,2.80,TL,Klug et al. 2014,"UK, USA Oklahoma/Akansas",Macropredator,Benthic,Coastal,nautiloids (like Nautilus): motile predator with four gills?; mostly active nektonic swimmers,Knoll et al. 1996; Mid-America Palaeontology Society 1992,"gradual decrease in diversity, extinct in Permian; predator-driven evolution (large cephalopods, early gnathostome fishes)",Mid-America Palaeontology Society 1992; Kiel et al. 2022,,Sheldon,
Invert,Arthropoda,Crinoidea,Isocrinida,Seirocrinus,genus,Mesozoic,Triassic,Upper Triassic,Norian,Jurassic,Lower Jurassic,Toarcian,Hagdorn 2016,15.00,column length,Hagdorn 2016,,Micropredator,Benthic,Coastal,"filter feeder, distribution depend on currents",Zmarzly 1985,shipworms reducing the drifting time of logs,Seilacher 2010,PBDB less,SR,
Invert,Arthropoda,Merostomata,Eurypterida,Slimonia acuminata,species,Paleozoic,Silurian,Llandovery,Telychian,Silurian,Wenlock,Homerian,Brandt 2021,1.00,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,"Eurypterina; predator, but not as highly specialized or active",McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Arthropoda,Cephalopoda,Dissidocerida,Temperoceras aequinudum,species,Paleozoic,Devonian,Lower Devonian,Lochkovian,Devonian,Lower Devonian,Lochkovian,Klug et al. 2014,1.33,maximum shell length,Klug et al. 2014,Africa,Macropredator,Pelagic,Oceanic,"nektonic, carnivore, fast moving",Kiessling 2004,,,PBDB paper not found,SR,
Invert,Arthropoda,Cephalopoda,Ammonitida,Titanites occidentalis,species,Mesozoic,Jurassic,Upper Jurassic,Tithonian,Jurassic,Upper Jurassic,Tithonian,Poulton 1989,1.78,diameter,Poulton 1989,,Macropredator,Pelagic,Oceanic,slow-moving and probably bottom­ dwelling,Ward 1983,Competition,Ward 1983,no age PBDB,SR,
Invert,Annelida,Bivalvia,Hippuritida,Titanosarcolites,genus,Mesozoic,Cretaceous,Upper Cretaceous,Campanian,Cretaceous,Upper Cretaceous,Maastrichtian,Mitchell & Ramsook 2009; Mitchell et al. 2004,2.50,length,Mitchell et al. 2021,,Micropredator,Benthic,Coastal,,,,,PBDB,SR,
Invert,Arthropoda,Polychaeta,Eunicida,Websteroprion armstrongi,species,Paleozoic,Devonian,Lower Devonian,,Devonian,Middle Devonian,,Eriksson et al. 2017,1.00,maximum length,Eriksson et al. 2017,"Ontario, Canada",Macropredator,Benthic,Coastal,Bioturbation,Eriksson et al. 2017;Woodin 1974,,,"""largest known fossil eunicidan annelid and represents a unique case of ancient polychaete gigantism.""; K: potentially an omnivore, however cannot be confirmed; not in PBDB",Sheldon,
Invert,Arthropoda,Cephalopoda,Teuthida,Yezoteuthis ,genus,Mesozoic,Cretaceous,Upper Cretaceous,Campanian,Cretaceous,Upper Cretaceous,Campanian,Tanabe et al. 2017,12.00,TL,Tanabe et al. 2015,,Macropredator,Pelagic,Coastal,,,,,for the size only known that comparable in body size to modern giant squids (Architeuthis spp.) and the Humboldt squid (Dosidicus gigas),Sheldon,
Invert,Arthropoda,Cephalopoda,Unknown,Zeravshanoceras priscum,species,Paleozoic,Devonian,Middle Devonian,Eifelian,Devonian,Middle Devonian, ,Klug et al. 2014,1.30,maximum shell length,Klug et al. 2014,,Macropredator,Pelagic,Oceanic,,,,,This species is only mentioned in one paper in Russia and it seems to only provide very little information apart from the size and age,SR,
