Group,Clade,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Mammal,Carnivora,Carnivora,Homiphoca capensis,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,"P. V. Rich. 1980. Preliminary report on the fossil avian remains from late Tertiary sediments at Langebaanweg (Cape Province), South Africa. Paleont. Afr. 26(7):69-91 ; J. Pether. 1986. Late Tertiary and early Quaternary marine deposits of the Namaqualand coast, Cape Province: new perspectives. South African Journal of Science 82:464-470",3.30,TL,M.Churchill et al. 2014 Evolution,North America; Africa,Macropredator,Pelagic,Coastal,mesopredator/pelagic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction ; several drought cycles as animals died in the area (Langebaanweg) as a result of starvation,"Govender, R. (December 2014). ""Preliminary phylogenetics and biogeographic history of the Pliocene seal, Homiphoca capensis from Langebaanweg, South Africa"". Transactions of the Royal Society of South Africa. 70 (1): 25–39","Odobenidae, most closely related to the crabeater seal, During pleistocene decrease in local sea levels resulted in the loss of island!",CS,
Mammal,Sirenia,Sirenia,Hydrodamalis cuestae,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Pliocene,Pliocene,Barnes et al. 1981 Geologic Investigations of the Coastal Plain; Domning 1978 University of California Publications in Geological Sciences 118,8.12,TL,Sarko et al. 2010,North America; Asia,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,Hydrodamalis as a genus survived the Pliocene extinction event ,Pimiento et al. 2017 Nature Ecology & Evolution,estimated of body length based on regression analyses,SK,
Mammal,Sirenia,Sirenia,Hydrodamalis gigas,species,Cenozoic,Neogene,Pleistocene,Pleistocene,Neogene,Holocene,Holocene,Gard et al. 1972 Geological Society of America Bulletin 83; Mattioli & Domning 2006 Aquatic Mammals 32(3),7.08,TL,Sarko et al. 2010,Asia; North America,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,extirpated from the continental margins of the North Pacific by stone-age hunters ,Anderson 2001 Journal of Mammalogy,estimated of body length based on regression analyses,SK,
Mammal,Carnivora,Carnivora,Imagotaria downsi,species,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Pliocene,Upper Miocene,"G. M. Lyon. 1941. A Miocene sea lion from Lomita, California. University of California Publications in Zoology 47:23-41 ; C. A. Repenning and R. H. Tedford. 1977. Otarioid seals of the Neogene. United States Geological Survey Professional Paper 992:1-93",2.50,TL,Velez-Juarbé et al. 2018 Royal Society,North America; Asia,Macropredator,Benthic,Coastal,mesopredator/benthic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,Odobenidae,CS,
Mammal,Cetacea,Cetacea,Janjucetus,genus,Cenozoic,Paleogene,Oligocene,Chattian,Paleogene,Oligocene,Chattian,Fitzgerald 2011 Biology Letters,3.50,TL,Fitzgerald 2006 Proceedings of the Royal Society,Australia,Macropredator,,,macrophagous predator (raptorial feeding on single prey item),Fitzgerald 2006 Proceedings of the Royal Society,,,"species Janjucetus hunderi, PLS multivariate regression equations, max. predicted length 5.2m, earliest well-described stem toothed mysticetes are represented by fossils from the Oligocene (28–24 Ma) of Australia and New Zealand—Janjucetus hunderi, belong to Mammalodontidae (other group Mammalodon probably were suction feeders, single prey item)",MG,
Mammal,Cetacea,Cetacea,Kentriodon,genus,Cenozoic,Paleogene,Oligocene,Chattian,Neogene,Miocene,Upper Miocene,Ichishima et al. 1994 The Island Arc 3,2.00,TL,Ichishima et al. 1994 The Island Arc 3,Australia; Asia; North America; South America; Europe,Macropredator,,,mesopredator,Ichishima et al. 1994 The Island Arc 3,,,,SK,
Mammal,Cetacea,Cetacea,Livyatan melvillei,species,Cenozoic,Neogene,Miocene,Upper Miocene,Neogene,Miocene,Upper Miocene,Lambert et al. 2010 nature,18.00,TL,Voss et al. 2019 Plos One,South America,Macropredator,,,"apex predator; fed mostly on high-energy content medium-size baleen whales (top predator); t, L. melvillei could plausibly have targeted larger species like cetotheriids by means of grip-and-tear feeding (sensu Berta and Lanzetti [137]), and likely overlapped in its diet with C. megalodon ",Voss et al. 2019 Plos One; Lambert et al. 2010 Nature; Collareta et al. 2021 Journal of Marine Science and Engineering,"Baleen whales, in particular, were smaller during the Miocene than they are today, a pattern that only changed with the onset of the Northern Hemisphere glaciation and the extinction of most small species around 3 Ma (pliocene extinction). Both C. megalodon and Livyatan-like physeteroids may have survived until roughly that time, when the decline of small mysticetes and various other marine vertebrates deprived them of their major food source.",Collareta et al. 2021 Journal of Marine Science and Engineering,approximately 12–13 million years ago,MG,
Mammal,Cetacea,Cetacea,Llanocetus,genus,Cenozoic,Paleogene,Eocene,Priabonian,Paleogene,Eocene,Priabonian,"Bargo & Reguero 1998 Associacion Paleontologica Argentina, Publicacion Especial ",12.00,TL,Bisconti et al. 2021 Biological Journal of the Linnean Society,Antarctica,Micropredator,,,"filter - feeding (Llanocetus denticrenatus is known from the Eocene/Oligocene boundary (approx. 34 Myr) of Antarctica, possessed widely spaced teeth with broad palmate denticles, and perhaps ‘proto-baleen’, which supplemented the hypothesized filtering function of its teeth)",Fitzgerald 2006 Proceedings of the Royal Society,,,"species: denticrenatus, stem toothed mysticete",GH,
Mammal,Cetacea,Cetacea,Messapicetus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Upper Miocene,Pilleri 1986 ; Fuller & Godfrey 2007 Journal of Vertebrate Paleontology,4.47,TL,Lambert et al. 2013 Zoological Journal of the Linnean Society,Europe; North America; South America,Macropredator,,,raptorial piscivore who may have fed mainly on schools of epipelagic fish,Bianucci et al. 2016 Research in Paleontolgy and Stratigraphy,,,"species: gregarius, longirostris",GH,
Mammal,Sirenia,Sirenia,Metaxytherium arctodites,species,Cenozoic,Neogene,Miocene,Middle Miocene,Neogene,Miocene,Middle Miocene,Minch et al. 1970 Geological Society of America Bulletin 81; Aranda-Manteca et al. 1994 Proceedings of the San Diego Society of Natural History 29,3.52,TL,Sarko et al. 2010,North America,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,,,estimate of body length based on regression analyses,SK,
