Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Fish,Placodermi,Placodermi,Arthrodira,Protitanichthys rockportensis ,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Sallan 2015,1.10,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Protosphyraena,genus,Mesozoic,Cretaceous,Lower Cretaceous,,Cretaceous,Upper Cretaceous,,"Seeley 1869, Hoganson et al. 2019",2.00,SL,"Liston, Maltese (2022)","Europe, North America, UK",Macropredator,Pelagic,,fast swimming pelagic predator ,Liston JJ 2019,,,"if you search the genus in pbdb many species pop up, maybe look up the sizes. ","MR, AG, IM",
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Pseudoasthenocormus retrodorsalis,species,Mesozoic,Jurassic,Upper Jurassic,,Jurassic,Upper Jurassic,,Lambers 1992,0.95,TL,Frickhinger (1994),Europe,,,, ,,,,"went to the source, talked about the species but was just the summary of the book",IM,
Fish,Actinopterygii,Actinopterygii,Scombriformes        ,Pseudotetrapturus luteus,species,Cenozoic,Paleogene,Oligocene,,Neogene,Miocene,,Monsch & Bannikov 2011,4.00,TL,Fierstine 2006; Monsch & Bannikov 2011,Asia,Macropredator,,,Omnivore ,"Monsch & Bannikov 2011, R. L. Carroll 1988",,,,"mr, AG",
Fish,Placodermi,Placodermi,Ptyctodontida        ,Ptyctodus czarnockii,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Carr 1995,1.10,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Ptyctodontida,Ptyctodus ferox,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Upper Devonian,,Carr 1995,2.50,TL,Sallan 2015,,,,, ,,,,,mr ,
Fish,Agnatha,Agnatha,Pteraspidiformes,Pycnosteus,genus,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Mark-Kurik 2000; Blieck et al. 2002,2.00,TL,Sallan 2015,"Europe, Asia",,,, ,,,,not surie if extinct,mr,
Fish,Sarcopterygii,Sarcopterygii,Actinistia,Rebellatrix divaricerca,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,Wendruff & Wilson 2012,1.30,SL,Romano 2014,North america,Macropredator,,,Predator Mesopredator,Wendruff & Wilson 2012,,"Fast-swimming, active predator",,mr,
Fish,Placodermi,Placodermi,Arthrodira,Rhenonema eifelense,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Carr 1995,3.00,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Rhinconichthys purgatoirensis,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Schumacher et al. 2016,2.70,TL,Schumacher et al. 2016,North America,Micropredator,,,suspension feeder ,Schumacher et al. 2016,,,,MR,
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Rhinconichthys taylori,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Friedman et al. 2010; Schumacher et al. 2016,2.70,TL,Schumacher et al. 2016,Europe,Micropredator,,,suspension feeder ,Friedman et al. (2010),,,,"MR, AG",
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Rhinconichthys uyenoi,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Schumacher et al. 2016,4.50,TL,Schumacher et al. 2016,Asia,Micropredator,,,suspension feeder ,Schumacher et al. 2016,,,,MR,
Fish,Actinopterygii,Actinopterygii,Aspidorhynchiformes,Richmondichthys,genus,Mesozoic,Cretaceous,Lower Cretaceous,,Cretaceous,Lower Cretaceous,,Bartholomai 2004,1.60,TL,Guinot & Cavin 2017,Oceania,,,, ,,,,,AG,
Fish,Actinopterygii,Actinopterygii,Semionotiformes,Sargodon tomicus,species,Mesozoic,Triassic,Middle Triassic,,Triassic,Upper Triassic,,Romano et al. 2016,1.00,SL,Romano et al. 2016,Europe,,,, ,,,,,AG,
Fish,Actinopterygii,Actinopterygii,Saurichthyiformes,Saurichthys dayi,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,Romano et al. 2016,1.50,SL,Romano et al. 2016,North America,Macropredator,Pelagic,Coastal,Ecological traits extrapolated from what is known for whole genus,Kogan et al.,,,,AG,
Fish,Actinopterygii,Actinopterygii,Saurichthyiformes,Saurichthys deperditus,species,Mesozoic,Triassic,Upper Triassic,,Triassic,Upper Triassic,,Romano et al. 2016,1.06,SL,Romano et al. 2016,Europe,Macropredator,Pelagic,Coastal,Ecological traits extrapolated from what is known for whole genus,Kogan et al.,,,,AG,
Fish,Actinopterygii,Actinopterygii,Saurichthyiformes,Saurichthys grignae,species,Mesozoic,Triassic,Middle Triassic,,Triassic,Middle Triassic,,Tintori 2013,1.20,SL,Tintori 2013,Europe,Macropredator,Pelagic,Coastal,Ecological traits extrapolated from what is known for whole genus,Kogan et al.,,,,AG,
Fish,Actinopterygii,Actinopterygii,Saurichthyiformes,Saurichthys hamiltoni,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,Romano et al. 2016,1.20,SL,Romano et al. 2016,Europe,Macropredator,Pelagic,Coastal,Ecological traits extrapolated from what is known for whole genus,Kogan et al.,,,,AG,
Fish,Actinopterygii,Actinopterygii,Saurichthyiformes,Saurichthys ornatus,species,Mesozoic,Triassic,Lower Triassic,,Triassic,Lower Triassic,,Romano et al. 2016,1.60,SL,Romano et al. 2016,"North America, Europe",Macropredator,Pelagic,Coastal,Ecological traits extrapolated from what is known for whole genus,Kogan et al.,,,,AG,
Fish,Actinopterygii,Actinopterygii,Saurichthyiformes,Saurichthys seefeldensis,species,Mesozoic,Triassic,Middle Triassic,,Triassic,Upper Triassic,,"Albert et al. 2009, Tintori 1990",1.80,TL,"Albert et al. 2009, Janvier 1996",Europe,Macropredator,Pelagic,Coastal,Ecological traits extrapolated from what is known for whole genus,Kogan et al.,,,,AG,
Fish,Sarcopterygii,Sarcopterygii,Rhizodontida,Sauripteris taylori,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Albert et al. 2009,2.00,TL,"Albert et al. 2009, Maisey 1996",North America,,,, ,,,,,AG,
Fish,Actinopterygii,Actinopterygii,Pachycormiformes,Saurostomus esocinus,species,Mesozoic,Jurassic,Lower Jurassic,,Jurassic,Lower Jurassic,,Wenz 1967; Woodward 1895,1.70,TL,Liston et al. (2013),Europe,,,, ,,,,length and time,,
Fish,Actinopterygii,Actinopterygii,Lepisosteiformes,Scheenstia,genus,Mesozoic,Jurassic,Upper Jurassic,,Cretaceous,Lower Cretaceous,,Woodward 1895; Engeser & Reitner 1985,1.85,TL,Guinot & Cavin 2017,Europe,,,, ,Cavin et al. 2019,,,,AG,
