Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Shark,Selachii,Chondrichthyes,Ctenacanthiformes,Ctenacanthus,genus,Paleozoic,Devonian,Upper Devonian,Famennian,Triassic,,,Cappetta 2012,NA,TL,,North and South America,,,,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=34489,,,,CP,
Shark,Selachii,Chondrichthyes,Ctenacanthiformes,Dracopristis hoffmanorum,species,Paleozoic,Carboniferous,Mississippian,Serpukhovian,Carboniferous,Pennsylvanian,Kasimovian,Hodnett et al. 2021,2.00,TL,Hodnett et al. 2021,North America,Macropredator,Benthopelagic,Coastal/Oceanic,"nektonic carnivore; paper suggests species is specialised in either ""benthic"" or ""shallow pelagic""","Hodnett, J.P., Grogan, E.D., Lund, R.I.C.H.A.R.D., Lucas, S.G., Suazo, T., Elliott, D.K. and Pruitt, J.E.S.S.E., 2021. Ctenacanthiform sharks from the Late Pennsylvanian (Missourian) Tinajas Member of the Atrasado Formation, central New Mexico. New Mexico Museum of Natural History and Science Bulletin, 84, pp.391-424.",,,Known from 1 specimen from New Mexico,JAC,
Shark,Chimeroidea,Chondrichthyes,Eugeneodontiformes ,Edestus heinrichi,species,Paleozoic,Carboniferous,Pennsylvanian,Bashkirian,Carboniferous,Pennsylvanian,Moscovian,Tapanila & Pruitt 2019,6.70,TL,Tapanila & Pruitt 2019,North America & Europe,Macropredator,Pelagic,Coastal,"nektonic carnivore; map shows habitat palaeocoordinates and paper remarks that fossils are recovered from ""coastal marine deposits""","Tapanila, L. and Pruitt, J., 2019. Redefining species concepts for the Pennsylvanian scissor tooth shark, Edestus. PloS one, 14(9), p.e0220958.",,,,JAC,
Shark,Selachii,Chondrichthyes,Carcharhiniformes,Eogaleus bolcensis,species,Cenozoic,Paleogene,Eocene,Ypresian,Paleogene,Eocene,Ypresian,Cappetta 2012,1.72,TL,Larocca Conte et al. 2020,Europe,Macropredator,Pelagic,Coastal,"largest order of sharks, shallow tropical warm water, coastal and pelagic, top predator, shell-shaped dermal denticles","Marramà, G., Carnevale, G. and Kriwet, J., 2018. New observations on the anatomy and paleobiology of the Eocene requiem shark† Eogaleus bolcensis (Carcharhiniformes, Carcharhinidae) from Bolca Lagerstätte, Italy. Comptes Rendus Palevol, 17(7), pp.443-459.",,,Known only from Italy,JAC,
Shark,Chimeroidea,Chondrichthyes,Eugeneodontiformes ,Fadenia crenulata,species,Paleozoic,Permian,Lopingian,Wuchiapingian,Permian,Lopingian,Wuchiapingian,E. Nielsen. 1932. Permo-Carboniferous fishes from east Greenland. Meddelelser om Grønland 86(3):1-63,1.33,TL,Albert et al. 2009,Greenland,,,,nektonic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=209398,,,,,
Shark,Selachii,Chondrichthyes,Orectolobiformes,Ginglymostoma delfortriei,species,Cenozoic,Paleogene,Miocene,Middle Miocene,Neogene,Miocene,Upper Miocene,Gillette 1984; Pimiento et al. 2013,NA,NA,"Pimiento et al., 2013. Journal of Paleontology","Reported from Gatun formation, Panama",,,,nektobenthic carnivore,https://paleobiodb.org/classic/basicTaxonInfo?taxon_no=34573,,,,CP,
Shark,Selachii,Chondrichthyes,Lamniformes,Haimirichia amonensis,species,Mesozoic,Cretaceous,Upper Cretaceous,Cenomanian,Cretaceous,Upper Cretaceous,Cenomanian,Vullo et al. 2016,1.15,TL,Vullo et al. 2016,Africa,Macropredator,Pelagic,Coastal,"Considered analogous to whitetip reef sharks: ""medium-sized coastal pelagic""","Vullo, R., Guinot, G. and Barbe, G., 2016. The first articulated specimen of the Cretaceous mackerel shark Haimirichia amonensis gen. nov.(Haimirichiidae fam. nov.) reveals a novel ecomorphological adaptation within the Lamniformes (Elasmobranchii). Journal of Systematic Palaeontology, 14(12), pp.1003-1024.",,,Known from 1 specimen in Morocco,JAC,
Shark,Chimeroidea,Chondrichthyes,Eugeneodontiformes ,Helicoprion,genus,Paleozoic,Permian,Cisuralian,Artinskian,Permian,Guadalupian,Roadian,Cappetta 2012,7.60,TL,Tapanila et al. 2020,Cosmompolitan,Macropredator,Pelagic,Coastal/Oceanic,nektonic carnivore; ecology inferred from extensive review of tooth whorl fossils,"Tapanila, L., Pruitt, J., Wilga, C.D. and Pradel, A., 2020. Saws, scissors, and sharks: late Paleozoic experimentation with symphyseal dentition. The Anatomical Record, 303(2), pp.363-376.",,,,CP,
Shark,Chimeroidea,Chondrichthyes,Eugeneodontiformes ,Helicoprion bessonovi,species,Paleozoic,Permian,Cisuralian,Asselian,Permian,Lopingian,Wuchiapingian,"E. R. Larson and J. B. Scott. 1955. Helicoprion from Elko County, Nevada. Journal of Paleontology 29(5):918-919 ; C. C. Branson. 1933. Fish fauna of the middle Phosphoria Formation. Journal of Geology 41:174-183",1.00,TL,Albert et al. 2009,North America ,Macropredator,Pelagic,Coastal,"nektonic carnivore; map used to show coastal palaeocoordinates, and analogues used to suggest pelagic lifestyle","Lebedev, O.A., 2009. A new specimen of Helicoprion Karpinsky, 1899 from Kazakhstanian Cisurals and a new reconstruction of its tooth whorl position and function. Acta Zoologica, 90, pp.171-182.",,,"Nevada,Wyoming",,
Shark,Selachii,Chondrichthyes,Carcharhiniformes,Hemipristis serra,species,Cenozoic,Neogene,Miocene,Lower Miocene,Quaternary,Pleistocene,Calabrian,Cappetta 2012; Lin et al. 2022,6.00,TL,Kent 1994; Pimiento et al. 2010,"Europe, North and South America, Africa, India, Indonesia",Macropredator,Benthopelagic,Coastal/Oceanic,Ecology considered analogous to living species; but much larger size indicates larger prey ,"Kent, B. W., 1994. Fossil Sharks of the Chesapeake Bay Region. Columbia, Maryland: Egan Rees & Boyer, Inc.",,,,CP,
